epoch,speed,totalGForce,gForceX,gForceY,steering_angle,sats,lat,lng
1785630894600,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836180
1785630894700,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836180
1785630899800,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836181
1785630900000,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836181
1785630900100,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836181
1785630900100,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836181
1785630900300,0.0,0.00,0.00,0.00,0.0,17,-23.605362,-46.836181
1785630900500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630900500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630900700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630900800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630900800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630901900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630902900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630903800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630904900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630905800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630906000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630906000,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836181
1785630906200,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630906400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630906500,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630906700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630906700,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836182
1785630906900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630906900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630907100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630907200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630907400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630907600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630907800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630908000,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630908200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
1785630908500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836182
