epoch,utc,lat,lng,alt_m,speed2d_ms,speed3d_ms,fix,dop,payload
1784771938375,2026-07-23T01:58:58.375Z,-23.6056676,-46.8360563,828.515,15.450,15.820,3,149,0
1784771938427,2026-07-23T01:58:58.427Z,-23.6056750,-46.8360573,828.546,15.190,15.460,3,149,0
1784771938479,2026-07-23T01:58:58.479Z,-23.6056824,-46.8360585,828.563,14.971,15.200,3,149,0
1784771938531,2026-07-23T01:58:58.531Z,-23.6056895,-46.8360597,828.574,14.721,14.980,3,149,0
1784771938583,2026-07-23T01:58:58.583Z,-23.6056963,-46.8360610,828.558,14.442,14.730,3,149,0
1784771938635,2026-07-23T01:58:58.635Z,-23.6057029,-46.8360623,828.486,14.219,14.450,3,149,0
1784771938687,2026-07-23T01:58:58.687Z,-23.6057094,-46.8360635,828.397,13.946,14.230,3,149,0
1784771938739,2026-07-23T01:58:58.739Z,-23.6057155,-46.8360651,828.319,13.573,13.960,3,149,0
1784771938791,2026-07-23T01:58:58.791Z,-23.6057218,-46.8360674,828.253,13.501,13.590,3,149,0
1784771938843,2026-07-23T01:58:58.843Z,-23.6057283,-46.8360700,828.243,13.570,13.510,3,149,0
1784771938896,2026-07-23T01:58:58.896Z,-23.6057347,-46.8360735,828.191,13.703,13.580,3,149,0
1784771938948,2026-07-23T01:58:58.948Z,-23.6057408,-46.8360772,828.180,13.666,13.720,3,149,0
1784771939000,2026-07-23T01:58:59.000Z,-23.6057468,-46.8360811,828.149,13.721,13.680,3,149,0
1784771939052,2026-07-23T01:58:59.052Z,-23.6057528,-46.8360853,828.089,13.869,13.730,3,149,0
1784771939104,2026-07-23T01:58:59.104Z,-23.6057586,-46.8360899,828.045,13.986,13.880,3,149,0
1784771939156,2026-07-23T01:58:59.156Z,-23.6057641,-46.8360944,828.039,13.906,14.000,3,149,0
1784771939208,2026-07-23T01:58:59.208Z,-23.6057695,-46.8360996,828.055,13.946,13.920,3,149,0
1784771939260,2026-07-23T01:58:59.260Z,-23.6057750,-46.8361048,827.944,14.209,13.960,3,149,0
1784771939312,2026-07-23T01:58:59.312Z,-23.6057805,-46.8361102,827.887,14.428,14.220,3,149,0
